top_user_date,username,rank (follower_count),media_scrape_dt,media_url,medadata_scrape,likes,comments
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1623013475536880768_25025320,2017-10-11 14:13:46.010954,"['liy.enaa', 'bentet28', 'millouze_larson', '__r_a_c_c_o_o_n_', 'ravindran_anitha', 'walisson_tolentino_', 'gadennis03', 'juliannadimaggio25', 'alicebonginii', 'olivo.parra', 'cova_basket05', 'nandish_aradhya', '_andre_geraldo', 'h005diaz', 'brooke_r.11']","['billsmith2315', 'lenynews', 'trex_concentrates', 'evelynimeldinata_', 'rw47fw', 'leeyan.02', 'frittata_91', 'floodjeremy', 'fenu_alessandro', '_atikah209__']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1622960726334164743_25025320,2017-10-11 14:13:48.207820,"['kakeryoga', 'adiyahav12', 'sabinchuk27', 'avixris', 'adera_ratu', 'mimi_10031994', 'ellenhollins', 'rawat.honey1313', 'vale_pulido_105', 'muhmmd_zaini_', 'raza_1379_a.j', '_.vasilliki._', 'sclipich', 'mushfiqurmasum', 'godwaldivanshu']","['mohammad651395', 'swjnhsn', '1874anticabarberia', 'schwarzschild13', 'abzzee', 'flaviadifede', 'kara_nguyen_411', 'fenu_alessandro']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1622893692925725184_25025320,2017-10-11 14:13:49.629993,"['roxanatabacaru', 'cantiknyaicha', 'mariisajm', 'ireuz', 'andradeangeles', 'minsyakirin', 'leonardamerico', 'lnaldz', 'kieuthuytran', 'lukasschiffner', 'yvtandrea', 'gingerita08', 'swagspeared', 'estercarvalho1206', 'lokeshk1202']","['mica3541pumlamicamtshali4816', 'swjnhsn', 'noranaji314', '_zn_cu', 'dianaloorparker', 'najm_s', 'amanda_m_tomas', 'shayru.espana', 'alaa_attya_1998', 'zippypixs']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1622269785407284293_25025320,2017-10-11 14:13:50.946611,"['shyam.barshikar', 'elodie2028', 'fadwa2651', 'sowndharya_ssa', 'lera_zytseva', 'draskostevic', 'kekkaconte11', 'indahsuryaniputrii', 'sofian_mar12', 'rashidmk571', 'vanekdietermax', 'banneret_polaroid', 'working9tostyle', 'chetan0269', 'yan_dianne']","['ariadnamarinycheva', 'faryal331', 'gizolii0', 'irinicon4', 'ekariajunaid', 'melihaydoan', 'osiasmayoue', 'ansbigo', 'karinabondarenko4977', 'dor.art_']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1622237864421905697_25025320,2017-10-11 14:13:52.691490,"['elodie2028', 'nicolekourietezanos', 'shongie_', 'ashish_bhau_thete', 'lavishkashruthi', 'boz.kurt.14', 'sagar_jijhoutia', 'susharya', 'akii0001', 'caterina.calieri', 'giorgiorita36', 'lau.potter_18', 'ungato.02', 'savita6077', 'arefterme73732017']","['bahek2405vgk', 'sh.ne.ll', 'ameernusrat', 'sakarya.itiraf3', 'himanshu_dhar', 'abdulla_ali_buabdulla', 'din.sangi', '_katai_live_']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1622106656139949919_25025320,2017-10-11 14:13:54.747075,"['banneret_polaroid', 'jamyang_katoch', 'ibni_mumtaz', 'johnson___2655', 'priyanka_kaole', 'inf3ction_', 'dipakdipakdipak', 'belenalba31', 'wendyestefaniamoncadaarellano', 'conradzietten', '_bluu', 'gwa_tk22', 'hanasaybeto', '_tigrangrigoryan_', 'robynsrealestate']","['mica3541pumlamicamtshali4816', 'swjnhsn', 'miss_sepi009', 'armanbuz', '15.viktoria', 'girll_beautiful_', 'youngungtaekwondo', 'olivia.jalladara']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1621243648011075227_25025320,2017-10-11 14:13:56.816878,"['sahirkhattak95', 'kalpang58', 'poojary_hemu', 'belenalba31', 'susharya', 'bhargavipostiwala', 'adnanepd', 'hingrid_05', 'itz__rajj', 'jony_arya', 'carlastarcombat', 'draskostevic', 'life_iz_crazyyy', 'dragan.legovic', 'ggeermmanbuzz']","['planetygram', 'bayleeesque', 'insta.photoshots', 'kh_ookhaa', 'dhina1105', 'halimfivers', 'ekariajunaid']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1620487955595339938_25025320,2017-10-11 14:13:58.415830,"['rishikeshreji', 'maja_fille', 'puzeezoeo432', 'nypann', 'martyna_antoniewicz', 'tristanyoungmann', 'amigos_mdo', 'doniasaeed9119', 'lukasmojic', 'meilstr_', 'e_s_h_w_a_r._', 'dobryichelovek1118', 'mahdi.khalildokht', 'dixi_bixi', 'mayod_alh']","['payam.t.p1325', 'aab4', 'joeyhutabarat20013646', 'thegoodlifeaddict', 'afifn_163', 'prshuraamraaii', 'taufik_fixs', 'frosildapolena']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1620451523224883405_25025320,2017-10-11 14:14:00.769019,"['jairajsingh_jacky', 'namrata1970', 'kzulutas07', 'emil_zhu', 'dayanna_fj', 'brookxxfiddz', 'izam247', 'she_call_me__babu', 'mhmttnn1', 'kayladinara3', 'dobryichelovek1118', 'pratikmethaniya', '_______youngbtch', 'tancicjovan', 'cook_oll_ka']","['aakash9149', 'haidebubo', 'roxanmanso', 'turalbakuvii', 'afifn_163', 'janejamesp1', 'juliademidowicz', 'frosildapolena', 'dor.art_']"
2017-10-11,instagram,1 (226724920),2017-10-11 14:13:43.258618,http://picbear.com/media/1622676463697175811_25025320,2017-10-11 14:14:02.235690,"['rose_code', 'danielpinedaf', 'drussentis', 'rahul.rana777', 'muttmo45', 'jeusfreitas', 'marritahadhis', 'mariaver', 'fa__jahan', 'soso_lo22', 'nu5679', 'monikathumar1995.mt', 'taytay_gates', 'lokeshk1202', 'lenkavo67']","['laly_lc', 'nzwestbrook', 'sportfurious', 'orchardmudtwin', 'kayleejeanbouldin', 'chakiben228', 'hajar_elie_saab', 'kamilshaikh333', 'fenu_alessandro', 'altitude.camp']"
2017-10-11,selenagomez,2 (128273270),2017-10-11 14:14:02.243903,http://picbear.com/media/1606703638129113070_460563723,2017-10-11 14:14:06.161157,"['akbulut.kadriye', 'ej_linzy', '_a.mladenovic_', 'cansleey', 'nanda.megaaa_', 'pjaychen', 'darkfeelingsss', '_is_gunelya', 'laurafrau_', 'zofie.k', 'silvina_niko', 'vero.lz', 'aliciadobronte', '_.n_a_s_t_y._', 'celine_alg17']","['vanialopez27', 'raldiansah', 'sevval.surer', 'squirt.bear.humpy', 'montserratsoto_2', '_khanh.le_', 'starnewsfact', 'alqksandra']"
2017-10-11,selenagomez,2 (128273270),2017-10-11 14:14:02.243903,http://picbear.com/media/1603596743973508509_460563723,2017-10-11 14:14:07.706406,"['sarah_cnh', 'vpetra___', '__h.e_inc__', 'llee_borges', 'minel_pinarci', 'anurag_rana007', 'silvina_niko', 'kelsie.dummett', 'laurafrau_', 'zoh_a', 'oz__dunyam_', 'yulia_chst', '_.n_a_s_t_y._', 'celine_alg17', 'xoxokadija']","['agnessia18', 'raldiansah', 'vishanthvernon', 'healthy_aloe', 'cindy_lalnunmawii', 'october.xun', 'n_a_54_', 'justin_turkey.64', 'krishatall', 'elvira_slsbla']"
2017-10-11,selenagomez,2 (128273270),2017-10-11 14:14:02.243903,http://picbear.com/media/1599445514636523920_460563723,2017-10-11 14:14:10.169507,"['mrseirafahizfathyahuzma', '__evil_queen__81', 'zeinabbassaf', 'miguel_gonzalez_jacas', 'tuanl.a_1703', '_mewonnaya03_', 'maisyy.stella', 'ilika_456', 'hamed_sall', 'malickcoly19', 'servane.trv', 'margaretha_yin80', 'milarwins', 'claraguez1003', '_ra_bea_2002']","['sahra.akkaya05', 'rayhikari', 'delila_', 'turan_hicret', 'angel.fa', 'zzzz7098', 'pippiez', 'umutdln']"
2017-10-11,selenagomez,2 (128273270),2017-10-11 14:14:02.243903,http://picbear.com/media/1598768708849772637_460563723,2017-10-11 14:14:12.509270,"['__evil_queen__81', 'xoxokadija', 'zeinabbassaf', '___vika572', 'nono101112', 'aluminum.spn', 'maisyy.stella', 'malickcoly19', 'onur_mms', 'denisjorgielatuputty', '__.sjain.__', 'flowerflowerart', 'milarwins', '_ra_bea_2002', 'boyblack504']","['majaelisetokle', 'silfiana254', 'lenkasur', 'rayhikari', 'delila_', 'taha1368taha', '92_meltem', 'worldofannna', 'boyblack504']"
2017-10-11,selenagomez,2 (128273270),2017-10-11 14:14:02.243903,http://picbear.com/media/1597428203419548859_460563723,2017-10-11 14:14:14.988328,"['__evil_queen__81', 'tidarat_nt', 'mrseirafahizfathyahuzma', 'vimxf', 'thaynwp', 'anoojbose', 'zeinabbassaf', '_mewonnaya03_', 'maisyy.stella', 'onur_mms', 'luna_starling', 'kwnnos._', 'flowerflowerart', 'uswatun4914', 'selincskn20']","['annalisasirica', 'helia.najafzadeh', 'aliazizi_123', '_k.valle', 'tinggilicious.my', 'xlily.dam', 'delila_', 'selena.evabelle', 'worldofannna']"
